Name,Description,What It Measures,Optimal Ranges,High Levels Mean,Low Levels Mean,Health Implications,How to Improve,References
"LDL-C","Often referred to as 'bad' cholesterol because high levels can lead to cholesterol accumulation in arteries, contributing to atherosclerosis and increasing cardiovascular disease and stroke risk. Carries cholesterol from the liver to body cells.","Concentration of low-density lipoprotein cholesterol in blood; key marker of cardiovascular risk assessment.","Johns Hopkins: Optimal 40–100 mg/dL; Elevated 100–130; Borderline High 130–160; High 160–190; Very High >190 mg/dL. No sex-specific ranges.","Increased atherosclerosis risk, plaque formation in arteries, cardiovascular disease and stroke risk.","Very low levels can have negative implications though specifics not detailed. VLDL, IDL, LDL, Lp(a) particles in moderation are healthy.","Remains valuable in cardiovascular risk assessment. Included in SiPhox Health Foundation panel.","Avoid saturated fat, trans fat, cholesterol. Increase soluble fiber. Maintain healthy weight. Exercise regularly. Quit smoking. Limit alcohol. Whey protein supplementation can decrease LDL-C.","Cleveland Clinic; MedlinePlus; Mayo Clinic; CDC; Johns Hopkins Medicine; NCBI; Peter Attia MD"
"Testosterone","The primary male hormone responsible for sexual health and development. Proper levels essential for both males and females. An imbalance can negatively affect reproductive and overall health.","Two measurements: Total Testosterone (free + bound) and Free Testosterone (unbound, more bioactive).","Males Total (ng/mL): Age 20–49: 3.0–10.8; Age 40–60: 3.0–8.9; Age 60+: 3.0–7.2. Males Free: ≥18: 0.047–0.244 ng/mL. Females Serum: 0.18–0.54 ng/mL. Low: <3.0 ng/mL (AUA).","Females: hyperandrogenism — PCOS, adrenal disorders, ovarian tumors, certain medications.","Males: reduced sex drive, erectile dysfunction, low sperm count, emotional changes. Females: primary ovarian insufficiency, adrenal insufficiency, pituitary disorders.","Males: regulates libido, bone mass, fat distribution, muscle mass, RBC and sperm production. Females: maintains muscle mass, bone density, libido, reproductive health, mood. Test 7–10 AM for accuracy.","Fenugreek, ashwagandha, honey. Adequate zinc intake. Avoid chronic stress. Better sleep. Lower abdominal fat. Strength training and aerobic exercise. Saw palmetto or boron supplements.","NCBI; Cleveland Clinic; Cincinnati Children's Hospital; ABIM; Multiple PubMed/NCBI studies"
"Testosterone:Cortisol Ratio","Demonstrates an important relationship between two critical hormonal biomarkers. Testosterone functions as a major anabolic hormone while cortisol is linked to catabolism (breakdown of products).","Comparative balance between testosterone (anabolic/building) and cortisol (catabolic/breakdown) to assess hormonal health status.","No specific numerical ranges provided. Test testosterone 7–10 AM and cortisol 6–8 AM for accuracy due to diurnal fluctuations.","Well-rested conditions, effective training, or peak performance periods. Enhanced tissue repair, muscle growth, athletic performance. Potential association with social aggression.","High stress, overtraining, inadequate recovery, illness.","Generally linked to athletic performance. Athletes seek to increase this ratio for enhanced recovery and muscle development.","Focus on improving testosterone and cortisol levels individually. See separate biomarker pages for specific strategies.","Open Sports Sciences Journal; Gray's Medicine; MDPI; Oxford Academic; ScienceDirect; PubMed"
"Thyroid Stimulating Hormone (TSH)","Produced by the pituitary gland following TRH secretion from the hypothalamus. Stimulates the thyroid to produce T4 and T3. T4 converts to active T3 primarily in liver, kidneys, brain. T3 inhibits TRH and TSH via negative feedback.","Health of the thyroid gland and endocrine function. Thyroid regulates metabolism, growth/development, body temperature, energy levels.","UCLA Health: Very low 0–0.5; Low 0.5–1; Optimal 1–2; High 2–5.0; Very high >5 uIU/mL. SiPhox: Optimal 0.45–5.33; Pay Attention >5.33; Alert >10 uIU/mL.","Hypothyroidism (underactive thyroid). Symptoms: lethargy, weight gain, cold sensitivity, thinning hair, constipation. May indicate Graves' or Hashimoto's disease.","Hyperthyroidism (overactive thyroid). Symptoms: weight loss, rapid/irregular heartbeat, increased hunger, anxiousness.","TSH changes can signal early thyroid problems. Follows circadian rhythm — morning testing may better detect hypothyroidism.","Lower TSH: avoid excess iodine; myoinositol+selenium; zinc, vitamin A, magnesium; ashwagandha. Raise TSH: Mediterranean/vegetarian diet; vitamin D; bugleweed; lemon balm; CoQ10; vitamin E. Quit smoking, exercise, improve sleep.","Tulane University; MedlinePlus; UCLA Health; Cleveland Clinic; Mayo Clinic; NIH; Multiple peer-reviewed studies"
"Total Cholesterol","A type of lipid important for cell membranes and hormones, contributing to digestion and metabolism. Dietary sources account for only 20–30% of circulating levels; most is synthesized by the body.","Total amount of cholesterol in the bloodstream, processed in the liver.","Very Low <125 mg/dL; Low 125–160; Optimal 160–200; At Risk 200–240; Dangerous >240 mg/dL. No sex-specific ranges.","Excessive cholesterol can cause atherosclerosis (plaque buildup) potentially leading to cardiovascular events including heart disease or stroke (hyperlipidemia).","Abnormally low (hypolipidemia) may indicate anemia, cancer, hepatitis C, malabsorption, hyperthyroidism, or undernutrition.","High: cardiovascular disease risk, atherosclerosis. Low: signal of underlying systemic conditions.","Mediterranean diet, plant-based diets, increase fruits/vegetables and soluble fiber, reduce saturated fat. Exercise, avoid smoking, maintain healthy weight, manage blood pressure and blood sugar, limit alcohol.","Better Health Victoria; Cleveland Clinic; Peter Attia MD; Merck Manuals; Nature; NCBI/PMC; AHA"
"Total Cholesterol:HDL Ratio","An important metric of cardiovascular health comparing bad and good cholesterol.","Ratio calculated by dividing total cholesterol by HDL-C level. Total cholesterol comprises LDL-C, HDL-C, and 20% of triglycerides.","Very Good <3.5; Low Risk <4.5; Moderate Risk 4.5–6; High Risk >6. No sex-specific ranges.","Greater risk of cardiovascular events. Even when HDL-C is individually elevated, higher LDL-C can still elevate overall risk.","Lower ratios indicate reduced cardiovascular risk.","Predicts acute myocardial infarction, coronary heart disease, cardiovascular morbidity and mortality.","Refer to individual strategies for Total Cholesterol, HDL-C, LDL-C, and Triglycerides.","University of Rochester Medical Center; Cleveland Clinic; NCBI publications"
"Triglycerides","The primary storage form of energy in animals. Excess fat is processed and stored in the liver as triglycerides. Mobilized during fasting through lipolysis.","Levels of triglycerides in the bloodstream.","Low 0–100 mg/dL; Optimal 70–100; Normal 100–150; Borderline High 150–199; High 200–499; Very High >500 mg/dL. Under 50 may indicate hypotriglyceridemia.","Increased atherosclerosis risk leading to carotid artery disease, heart attack, metabolic syndrome, stroke. 1 in 4 Americans have high triglycerides. Associated: diabetes, thyroid disease, medications, family history.","Under 50 mg/dL may indicate hypotriglyceridemia.","Cardiovascular event risk, metabolic syndrome, obesity/type 2 diabetes association. Included in SiPhox base panel.","Limit sugar and refined foods. Eat more fiber. Avoid saturated fats. Maintain healthy weight. Exercise regularly. Manage blood pressure and diabetes. Quit smoking. Abstain from alcohol. Adequate sleep. Reduce stress.","Cleveland Clinic; ABIM; MedlinePlus; NCBI/PubMed; Peter Attia MD; AHA; The Lancet"
"Hemoglobin A1C (HbA1c)","Correlates to average blood sugar levels over the past 2–3 months by measuring the percentage of hemoglobin proteins coated with sugar.","Percentage of hemoglobin proteins with sugar coating; provides long-term snapshot of blood glucose concentration.","General: Optimal 4–5%; Normal 4–5.6%; Pre-diabetes 5.7–6.4%; Diabetes >6.5%; Critical >9%. SiPhox: Optimal ≤5.2%; Good 5.3–5.5%; Fair 5.6–5.9%; Pay Attention 6.0–6.5%; Alert ≥6.5%.","Levels consistently above 5.6% may warrant physician visit. Elevated A1C indicates increased diabetic risk.","Not explicitly detailed; levels within optimal range (4–5%) indicate healthy blood sugar management.","Primary screening tool for diabetic risk. Factors affecting results: kidney failure, liver disease, anemia, uncommon hemoglobin types, certain medications, blood loss/transfusions, pregnancy.","Increase fiber (veggies, whole grains, fruit). Weight loss. Regular exercise (aerobic and strength training). Smoking cessation.","CDC; Mayo Clinic; Johns Hopkins Medicine; MedlinePlus; ABIM; Nursing Center"
"Vitamin D","A fat-soluble vitamin synthesized through UV light exposure or obtained from food and supplements. Plays crucial roles in calcium absorption, bone mineralization, inflammation reduction, and neuromuscular and metabolic functions.","Vitamin D serum concentration (25-hydroxyvitamin D). Indicates adequacy for bone health, immune function, and metabolic regulation.","Deficiency <25 ng/mL; Insufficient 25–40; Sufficient 40–70; High 70–100; Critical >100 ng/mL. No sex-specific ranges.","Excessive vitamin D can cause nausea, dehydration, kidney issues; severe cases: anorexia, irregular heartbeat, hardening of blood vessels and tissues.","Decreased bone health, muscular atrophy, rickets, osteomalacia. Linked to elevated inflammatory markers and increased Metabolic Syndrome risk. At-risk: vegans, insufficient sun, obesity, gastric bypass, IBD/Crohn's.","Essential for calcium absorption, bone mineralization, immune function, inflammation regulation, neuromuscular function, metabolic health.","Dietary: fatty fish, fortified OJ/cereal/milk. Lifestyle: 15–20 min outdoors 10am–3pm. Supplementation: 600 IU daily recommended.","National Library of Medicine; NIH; Harvard T.H. Chan School of Public Health"
"Alanine Aminotransferase (ALT)","An enzyme primarily concentrated in liver cells. Also present in kidneys, heart, muscles, pancreas. Its high liver concentration makes it a significant marker for hepatic health. More specific for liver damage than AST.","Liver health and hepatic cell integrity. When liver cells sustain damage, ALT releases into the bloodstream at elevated levels.","Standard: Adults ~11–52 U/L (women typically lower). SiPhox: Optimal ≤25; Good 25.1–34.9; Fair 35–44.9; Pay Attention ≥45; Alert >80 U/L.","Liver inflammation or damage. Chronic elevation warrants investigation. Slight elevations may be normal for some individuals.","Not addressed.","Early diagnosis of liver diseases, monitoring disease progression or treatment effectiveness. Important alongside AST and other liver enzymes.","Not specifically addressed on this page.","Giannini (2005); Kalas et al. (2021); Cleveland Clinic; Medscape"
"Creatinine","A waste product generated from protein digestion and normal muscle wear and tear. Produced from creatine (essential for muscle energy). Kidneys filter creatinine for urinary excretion.","Kidney function and renal health. Blood levels indicate whether kidneys are functioning properly.","Adult Males: 0.70–1.30 mg/dL; Adult Females: 0.50–1.10 mg/dL. Higher muscle mass correlates with higher creatinine.","Impaired kidney function or kidney disease; kidneys not filtering effectively.","Not specified.","Marker of chronic kidney disease (CKD), guides treatment decisions including dialysis necessity, indicates disease progression.","Limit meat intake; increase high-fiber foods. Stay hydrated, quit tobacco, limit sodium, avoid NSAIDs.","ABIM; American Kidney Fund; UCLA Health; National Kidney Organization"
"eGFR (Estimated Glomerular Filtration Rate)","Assesses how well kidneys function by estimating blood filtered by glomeruli each minute. Calculated based on creatinine, age, body size, and gender. Non-invasive kidney health monitor.","How efficiently kidneys filter waste from blood.","General (UK Kidney Association): Healthy ~60–120 mL/min/1.73 m². SiPhox: Optimal ≥100; Good 90–99.9; Fair 80.1–89.9; Pay Attention ≤80; Alert <60 mL/min/1.73 m². Must be interpreted with other clinical findings.","Normal to optimal kidney function with effective filtration capacity (≥90).","Reduced kidney function. Below 60 warrants immediate physician consultation. Impaired kidneys can cause heart disease, stroke, high blood pressure, weak bones, nerve damage, low RBC count.","Essential for diagnosing kidney conditions, assessing damage severity, guiding treatment. Important for those with diabetes, hypertension, or heart disease. 1 in 3 American adults at risk for kidney disease.","Reduce salt; moderate protein (low-protein diet can preserve renal function in CKD). Weight management, exercise, quit smoking, limit alcohol, avoid NSAIDs, annual flu shots, exercise therapy.","National Kidney Foundation; American Kidney Fund; NIDDK; UK Kidney Association; AJKD; CDC; NCBI studies"
"Fasting Glucose","The concentration of glucose in blood after an overnight fast. Provides insight into the body's ability to maintain and regulate blood sugar levels within a narrow range during fasting.","The body's capability to maintain glucose regulation during fasting and metabolic health status. Requires minimum 8-hour overnight fast.","Normal <100 mg/dL; Prediabetes (Impaired Fasting Glucose) 100–125; Diabetes ≥126 mg/dL (on two separate tests). No sex-specific ranges.","Hyperglycemia — impaired glucose metabolism, increased diabetes and cardiovascular risk. Symptoms: increased thirst, frequent urination, fatigue, blurred vision, slow wound healing.","Hypoglycemia. Symptoms: hunger, weakness, blurred vision, difficulty concentrating, confusion, dizziness, nausea.","Critical for diagnosing prediabetes, diabetes mellitus, insulin resistance. ~38.4 million Americans have diabetes; ~8.7 million undiagnosed.","Low-carbohydrate diets, adequate sleep, regular physical activity, healthy weight, stress management. Prescribed medications or insulin therapy if needed. CGM systems for real-time tracking.","National Library of Medicine; Mayo Clinic; CDC; Cleveland Clinic; NIDDK"
"HOMA-IR","Estimates insulin resistance — a condition where cells become less responsive to insulin. Reflects beta cell function and insulin sensitivity. Formula: (Fasting Insulin × Fasting Glucose) / 405.","Insulin resistance level.","General: Insulin Sensitive <1.0; Borderline 1.5–2.9; Significantly Resistant >2.9. SiPhox: Optimal ≤1; Good 1.1–1.49; Fair 1.5–1.99; Pay Attention ≥2.","Greater insulin resistance, increasing risk for type 2 diabetes, metabolic syndrome, dyslipidemia, hypertension, obesity.","Good insulin sensitivity, low diabetes risk.","Crucial for maintaining and assessing metabolic health. Provides quantifiable measure of insulin resistance. Early detection enables timely interventions.","Mediterranean diets, high-protein diets, low-calorie diets. HIIT, moderate-intensity exercise, strength training, resistance training. Sufficient sleep (~8 hours).","BMC Endocrine Disorders; American Journal of Gastroenterology; Dr. Eric Berg; Studies on diet interventions"
"Lipoprotein(a) — Lp(a)","A lipoprotein that transports cholesterol in the bloodstream, similar to LDL-P. About 1 in 5 people worldwide have high Lp(a), including 63 million in the US.","Cholesterol transport particles in blood. Measured in nmol/L (preferred) or mg/dL.","Standard: Optimal <14 mg/dL; Borderline 14–30; High risk 31–50; Highest risk >50 mg/dL. SiPhox: Optimal <50 nmol/L; Good 50–74; Fair 75–124; Pay Attention ≥125 nmol/L. EAS: Normal <30 mg/dL.","Increased cardiovascular risk via plaque buildup, increased clotting, inflammation causing plaque rupture. Higher risk for atherosclerosis, heart attack, stroke.","Reduced cardiovascular risk. Not explicitly addressed.","Genetically determined, not significantly affected by lifestyle. Conditions that may alter: diabetes, CKD, post-menopause. African and South Asian descent face higher risk.","More low-calorie nutrient-dense foods; lean protein; monounsaturated fats. Aerobic exercise ≥30 min/day 5x/week; resistance training ≥2 days/week. Healthy weight, adequate sleep, tobacco cessation. Research remains inconclusive.","CDC; AHA; ACC; Cleveland Clinic; Johns Hopkins; Mayo Clinic; MedlinePlus; NLM; Multiple studies"
"Albumin","A protein manufactured by the liver and one of the most abundant proteins in blood. Serves critical functions including transporting hormones, vitamins, and enzymes.","Protein levels in blood, liver function, kidney function, nutritional status, hormone transport capacity (particularly testosterone).","Normal range: 3.5–5.5 g/dL; Optimal concentration: 4.0 g/dL (UNC Kidney Center). No sex-specific or tiered categories.","Dehydration, excess protein intake, use of anabolic steroids or supplements.","Malnutrition, burns/infections, liver dysfunction/disease, kidney disease (albuminuria), impaired nutrient absorption.","Especially significant to testosterone transport — accounts for 50–68% of total testosterone in males. Reduced albumin correlates with decreased biologically active free testosterone.","Low: balanced diet with protein, dairy, whole grains; limit sodium; reduce alcohol; consider vitamin D. High: increase water, exercise, quit smoking, limit alcohol, maintain healthy weight.","MedlinePlus; UNC Kidney Center; Cleveland Clinic; National Kidney Foundation; Doctor O'Donovan"
"Anti-Mullerian Hormone (AMH)","An important reproductive health biomarker produced by testes in males and ovaries in females. Most accurate predictor of ovarian reserve.","Ovarian reserve (egg supply in females), reproductive function, sperm and hormonal production (males).","Age-specific 'Good' (Females): Age 25 >3.0; Age 30 >2.5; Age 35 >1.5; Age 40 >1.0; Age 45 >0.5 ng/mL. General: Average 1–3; Low <1; Severely low <0.5 ng/mL. Testable anytime during cycle.","Greater egg supply/ovarian reserve, better fertility prospects. Possible PCOS in some cases.","Shortage of eggs, increased pregnancy difficulty, approaching menopause, diminished ovarian reserve. Low AMH may still conceive naturally — does not provide egg quality info.","Guides IVF planning, diagnoses irregular periods, tracks menopausal onset, aids PCOS/ovarian cancer diagnosis.","Dairy products (may slow AMH decline); decrease dietary fat; pro-fertility diet for overweight/obese; regular exercise; quit smoking; vitamin D supplementation.","MedlinePlus; Cleveland Clinic; NCBI studies; Shady Grove Fertility; Dr. Jolene Brighten"
"Folate (Vitamin B9)","The natural dietary form of vitamin B9. Folic acid is the synthetic form with better absorption. Both essential for multiple physiological functions.","Folate levels in blood serum, indicating adequacy for cellular and developmental health.","Reference range: 2.7–17.0 ng/mL; Adequate level: >3 ng/mL. No tiered or sex-specific ranges.","Not discussed.","Linked to Alzheimer's disease and depression. Can increase homocysteine levels and impair cell growth and function.","Critical for healthy cell growth, fetal development, reducing birth defect risk, brain function, homocysteine breakdown.","Dietary: spinach, peas, grains, liver. Adults: 400 mcg daily; pregnant: 600+ mcg (max 1000 mcg). Supplementation available.","Mayo Clinic; Mount Sinai; NIH; Harvard School of Public Health; Nucleus Medical Media"
